ID,NAZICO,OBEC,N_ACTIVE_SECTORS,SECTORS
320205_POV,Radošov - ÚV,KYSELKA,0,
320303_POD,VOSS podzemní zdroj Šindelová- Obora,Šindelová,1,Public Supply
320304_POD,"Vak Březová Kamenice S1,2",Březová,1,Public Supply
320910_VYP,Sokolovská uhelná Kynšperk nad Ohří,Kynšperk nad Ohří,0,
320207_POD,Vak K.Vary Bečov nad Teplou,Bečov nad Teplou,1,Public Supply
320228_VYP,Vak Radošov - kanalizace,Kyselka,0,
321470_VYP,Sokolovská uhelná  Sokolov,Vintířov,0,
321810_VYP,Sokolovská uhelná Citice,Citice,0,
321540_VYP,Vysoká Pec u Nejdku - ČOV,Vysoká Pec,0,
320750_VYP,Kamenolom Lipná - důlní,Hazlov,0,
320633_VYP,Sokolovská uhelná  Vintířov-dosazovací nádrž,Vintířov,0,
320105_VYP,"CHEVAK Cheb, Švédský vrch",Cheb,0,
320203_VYP,Vak  Žalmanov,Stružná,0,
322055_POD,Minerální vody Mattoni HV 53AP,Hradiště,1,Mineral Waters
320107_POD,Chevak Bavory - česká část,Pomezí nad Ohří,1,Public Supply
322012_POD,Minerální vody Magnesia,Prameny,1,Mineral Waters
321370_POD,Agrokombinát Palič,Lipová,1,Livestock
320126_POD,Chevak Schönberg - česká část,Hazlov,1,Public Supply
322040_VYP,Petainer dešťové vody,Aš,0,
323130_POV,Zahrádkářský svaz Cheb - osada  Maškov,Cheb,1,Irrigation
320106_VYP,"CHEVAK Cheb, a. s., Podhrad ČOV",Cheb,0,
320914_VYP,Sokolovská Uhelná ČS J-6,Královské Poříčí,0,
321590_VYP,Tisová-rybochovný objekt,Březová,0,
321270_VYP,Sokolovská uhelná  výsypka Matyáš,Lomnice,0,
320202_VYP,Vak  Božíčany,Božičany,0,
320100_POD,CHEVAK - Nový Kostel - prameniště,Nový Kostel,1,Public Supply
320302_POD,VOSS zdroj Háj u Jindřichovic,Jindřichovice,1,Public Supply
321590_POV,Tisová-rybochovný objekt,Březová,1,Other Industry
322110_POD,RVES BUBLAVA  - jatka,Kraslice,1,Livestock
321581_VYP,LB MINERALS-Chebská výsypka,Křižovatka,0,
321000_POV,Město Sokolov areál Bohemia,Sokolov,1,Other Industry
321440_POV,Město Františkovy Lázně - Labutí jezírko,Františkovy Lázně,1,Other Industry
321971_POD,Minerální vody Mattoni HJ 4,Hradiště,1,Mineral Waters
321967_POD,Minerální vody Mattoni BJ10,Kyselka,1,Mineral Waters
321360_POD,Správa parků K. Vary - Smetanovy sady,Karlovy Vary,1,Irrigation
321930_POD,"Domov """"""""PRAMEN"""""""" Mnichov",Mnichov,1,Other Industry
321260_VYP,SU - Dasnice kamenolom,Dasnice,0,
322770_VYP,Recont Otovice - ČOV,Otovice,0,
320781_VYP,Metalis-dešťová+chlazení,Nejdek,0,
320860_VYP,Bohemia Porcelán Stará Role - ČOV,Karlovy Vary,0,
321460_VYP,SU - výsypka Boučí,Sokolov,0,
320231_VYP,Město Krásno ČOV,Krásno,0,
320231_POD,Vak K. Vary Krásno - důlní,Krásno,1,Public Supply
320918_VYP,SU - výsypka Erika,Lomnice,0,
321850_VYP,SU - výsypka.Silvestr východ,Sokolov,0,
321050_VYP,Strojírny Cheb - ČOV,Cheb,0,
320214_POD,Vak K.Vary - Stružná,Stružná,1,Public Supply
321273_VYP,SU - výsypka Lítov-CHL 9+vrty,Habartov,0,
321770_VYP,SU - Habartov hrado D 2-výsypka Boden,Habartov,0,
321005_VYP,SU - důlní vody z ČS Marie II,Sokolov,0,
321270_POV,SU - lom zatápění  Medard - Libík,Sokolov,1,Other Industry
321320_POV,Thun Nová Role - novorolský rybník,Nová Role,1,Industrial Technology
321620_POV,Kamenolom-DRAGOUN Pavel,Cheb,1,Other Industry
320860_POV,Bohemia Porcelán Stará Role,Karlovy Vary,1,Industrial Technology
320702_POD,Vlnap Nejdek,Nejdek,1,Industrial Technology
320810_VYP,MONTSTAV CZ Dolní Rychnov,Sokolov,0,
320801_VYP,Flabeg Oloví - kanalizace-31.12.2018 konec,Oloví,0,
321350_POV,Správa parků K. Vary - Smetanovy sady,Karlovy Vary,1,Irrigation
