ID,NAZICO,OBEC,MVM
320631_POV,SU  Vřesová,VŘESOVÁ,1275211.08
320630_POV,SU  Loket,LOKET,1155054.456
320631_POV,SU Vřesová-retenční nádrž,Vřesová,991830.84
320890_POV,ČEZ Tisová,BŘEZOVÁ,783727.785
320890_POV,Elektrárna Tisová,Březová,696646.92
320631_POV,SU  Vřesová,Vřesová,566760.48
320630_POV,SU  Loket,Loket,513357.536
320890_POV,ČEZ Tisová,Březová,348323.46
320840_POV,"Synthomer, a.s. Sokolov",Sokolov,199107.21
320840_POV,"Momentive Specialty Chemicals, a.s.",Sokolov,132738.14
320840_POV,"Hexion Specialty Chemicals, a.s.",SOKOLOV,99553.605
320840_POV,Eastman  Sokolov,SOKOLOV,66369.07
320840_POV,RSM Chemacryl Sokolov,SOKOLOV,66369.07
320840_POV,"Hexion, a.s. Sokolov",Sokolov,66369.07
320634_POV,SU - převod vody do Chodovského potoka,Loket,46494.247
320700_POV,VLNAP a.s.,Nejdek,33712.74
320840_POV,"Momentive Specialty Chemicals, a.s.",SOKOLOV,33184.535
320780_POV,Metalis  Nejdek,Vysoká Pec,22907.698
320700_POV,"Vlnap a.s., Nejdek",NEJDEK,16856.37
320780_POV,Metalis  Nejdek,VYSOKÁ PEC,16660.144
320700_POV,Vlnap  Nejdek,NEJDEK,5618.79
321300_POV,Thun  Nová Role - Vojkův rybník,Nová Role,3385.696
322040_POD,Petainer Aš,Aš,3002.58
320800_POV,"Glaverber Oloví, závod Oloví",OLOVÍ,2989.684
320800_POV,"AGC, závod Oloví",OLOVÍ,2989.684
320700_POV,VLNAP a.s.,NEJDEK,2809.395
320780_POV,Metalis  Nejdek,Nejdek,2082.518
321300_POV,Thun  Nová Role - Vojkův rybník,Božičany,1692.848
321300_POV,Thun  Nová Role - vojkův rybník,Nová Role,1692.848
322040_POD,Rexam Aš,AŠ,1251.075
321550_POV,Nejdecká česárna,Nejdek,895.827
322040_POD,Petainer Aš,AŠ,500.43
321520_POV,Amati Kraslice 110,Kraslice,136.026
321520_POV,Amati Kraslice 110,KRASLICE,90.684
