ID,NAZICO,OBEC,OD_PR_T,FIN_SEKCE,OBOR_FIN
320630_POV,SU Loket - ČS Loket,Loket,3375.383,A,"Zemědělství, lesnictví, rybářství"
320632_POV,SU - Tatrovice - odběr do VD Vřesová,Tatrovice,1197.326,A,"Zemědělství, lesnictví, rybářství"
320840_POV,"Synthomer, a.s. Sokolov",Sokolov,287.48,C,Zpracovatelský průmysl
320640_POV,Sametex Kraslice,Kraslice,181.062,B,Těžba a dobývání
321390_POV,Povodí Ohře - z VD Podhora do VD M. Lázně,Teplá,156.6,E,Zásobování vodou; činnosti související s odpady a sanacemi
321250_POD,KSM Kraslice,KRASLICE,138.9,F,Stavebnictví
320770_POV,Štěrkopísky Cheb,Cheb,111.95,C,Zpracovatelský průmysl
321550_POV,Nejdecká česárna Nejdek,Nejdek,61.923,B,Těžba a dobývání
321540_POV,Město Nejdek- ÚV Vysoká Pec,Nejdek,52.75,C,Zpracovatelský průmysl
321540_POD,Město Nejdek - Limnice,Nejdek,42.972,C,Zpracovatelský průmysl
320700_POD,Vlnap Nejdek - 5 studní,Nejdek,33.611,B,Těžba a dobývání
320650_POV,Immogard s.r.o Libavské Údolí,Libavské Údolí,22.541,B,Těžba a dobývání
320800_POV,"AGC, závod Oloví",Oloví,22.193,C,Zpracovatelský průmysl
320212_POV,VaK Nová Ves,NOVÁ VES,16.8,F,Stavebnictví
321550_POD,"Nejdecká česárna vlny- VS1, VS2",Nejdek,14.672,B,Těžba a dobývání
321580_POV,LB MINERALS s.r.o. - plavírna Velký Luh,Velký Luh,14.529,A,"Zemědělství, lesnictví, rybářství"
321300_POV,Thun Nová Role - Vojkův rybník,Božičany,14.33,C,Zpracovatelský průmysl
321620_POV,Slapany,CHEB,13.3,C,Zpracovatelský průmysl
321320_POV,Thun Nová Role - novorolský rybník,Nová Role,12.331,C,Zpracovatelský průmysl
321530_POD,Město Nejdek - Vysoká Pec,Nejdek,11.295,C,Zpracovatelský průmysl
320860_POV,Bohemia Porcelán Stará Role,Karlovy Vary,9.283,C,Zpracovatelský průmysl
320710_POV,Chetes Cheb,CHEB,8.66,R,"Kulturní, zábavní a rekreační činnosti"
321090_POD,Betonárka Sadov,Sadov,6.555,C,Zpracovatelský průmysl
320780_POV,Metalis Nejdek,Vysoká Pec,5.5,C,Zpracovatelský průmysl
321520_POV,Amati Kraslice 110,Kraslice,5.26,C,Zpracovatelský průmysl
322220_POD,Českomoravský štěrk Milhostov,Milhostov,5.015,nan,nan
322193_POV,jednorázový odběr - zkouška plynovodu,Teplá,4.975,N,Administrativní a podpůrné činnosti
322192_POV,jednorázové odběry - zkouška plynovodu,Loket,4.746,N,Administrativní a podpůrné činnosti
320890_POD,Elektrárna Tisová-čerpání POD,Březová,4.57,C,Zpracovatelský průmysl
321760_POV,CEPS-Teplá,Teplá,3.055,nan,nan
321530_POV,Město Nejdek Vysoká Pec - ÚV,Vysoká Pec,2.563,C,Zpracovatelský průmysl
320702_POD,Vlnap Nejdek,Nejdek,2.556,B,Těžba a dobývání
321940_POV,IMERYS K. Vary,Karlovy Vary,2.087,C,Zpracovatelský průmysl
320910_POV,SU - úpravna a třídírna uhlí Tisová,Březová,1.816,A,"Zemědělství, lesnictví, rybářství"
320720_POV,Teplárna Karlovy Vary,Karlovy Vary,1.297,C,Zpracovatelský průmysl
361210_POV,České dráhy - odběr z vodní nádrže (zdrže),Cheb,1.26,nan,nan
320700_POV,VLNAP a.s.,Nejdek,1.199,B,Těžba a dobývání
320690_POV,Nejdecká česárna Nejdek - průmysl+požární voda,Nejdek,0.867,B,Těžba a dobývání
