ID,TOTAL_OD_ZAVL,N_YEARS,FIRST_YEAR,LAST_YEAR,NAZICO,OBEC,X,Y
321210_POV,76.014,14,2008,2022,Golf Resort Cihelny-závlaha sportovních areálů,Karlovy Vary,-852980.0,-1016328.0
321710_POV,50.898,15,2007,2022,Golfové hřiště Dolní Rychnov,Dolní Rychnov,-865794.0,-1016590.0
322080_POV,27.7,14,2009,2022,Golf Lázně Kynžvart,Lázně Kynžvart,-873203.0,-1032547.0
320740_POV,23.4,13,2002,2022,Správa parků Karlovy Vary,Karlovy Vary,-850133.0,-1010776.0
321360_POV,22.6,11,2003,2022,Správa parků K.Vary - Dvořákovy sady,Karlovy Vary,-849687.0,-1011375.0
322170_POD,7.202,6,2015,2020,Zahrádky - studny Š1-5,Pomezí nad Ohří,-893512.0,-1021560.0
323130_POV,5.5,3,2010,2013,Zahrádkářský svaz Cheb - osada  Maškov,Cheb,-886689.0,-1022449.0
320711_POV,5.418,9,2014,2022,Chetes Cheb,Cheb,-888660.0,-1021783.0
323140_POV,4.0,10,2012,2022,Zahradkářský svaz  U Jodoka,Cheb,-886872.0,-1021361.0
321360_POD,3.9,3,2003,2015,Správa parků K. Vary - Smetanovy sady,Karlovy Vary,-849584.0,-1011896.0
320710_POV,2.974,10,2008,2022,Chetes  Cheb,Cheb,-888366.0,-1021572.0
321350_POV,2.68,5,2008,2018,Správa parků K. Vary - Smetanovy sady,Karlovy Vary,-849905.0,-1011018.0
360743_POV,2.65,1,2022,2022,"závlaha fotb. hřišť, tenis. kurtů - SOTES Sokolov",Sokolov,-866462.0,-1014895.0
322140_POV,2.161,5,2016,2022,Město Sokolov areál Bohemia,Sokolov,-866315.0,-1013502.0
361237_POV,1.377,1,2022,2022,Vojenské lesy a statky - závlaha lesní školky,Doupovské Hradiště,-839448.0,-1008805.0
360438_POV,1.37,1,2022,2022,rostlinná výroba - MAVEX AGRO spol. s. r. o.,Cheb,-885706.0,-1019215.0
360856_POV,0.4,1,2022,2022,závlaha vzdušného líce hráze,Nový Kostel,-877605.0,-1011624.0
360161_POV,0.213,1,2022,2022,zálivka pozemku (hřiště) - Obec Svatava,Svatava,-868233.0,-1012311.0
360472_POV,0.012,1,2022,2022,zálivka jahodníků - Tomáš Baloun,Šabina,-871910.0,-1017692.0
