DTM,TOTAL_MVM,N_IDS
2000-01-15,0.03,2
2000-02-15,0.01,2
2000-03-15,0.76,2
2000-04-15,3.91,2
2000-05-15,4.92,2
2000-06-15,4.07,2
2000-07-15,4.0600000000000005,2
2000-08-15,3.34,2
2000-09-15,5.5,2
2000-10-15,3.2,2
2000-11-15,0.1,2
2000-12-15,0.0,2
2001-01-15,0.0,1
2001-02-15,0.0,1
2001-03-15,0.3,1
2001-04-15,2.1,1
2001-05-15,3.2,1
2001-06-15,2.8,1
2001-07-15,3.5,1
2001-08-15,3.3,1
2001-09-15,3.5,1
2001-10-15,1.2,1
2001-11-15,0.1,1
2001-12-15,0.0,1
2002-01-15,0.0,1
2002-02-15,0.0,1
2002-03-15,0.0,1
2002-04-15,2.5,1
2002-05-15,3.4,1
2002-06-15,3.0,1
2002-07-15,3.4,1
2002-08-15,3.1,1
2002-09-15,2.8,1
2002-10-15,1.7,1
2002-11-15,0.1,1
2002-12-15,0.0,1
2003-01-15,0.0,3
2003-02-15,0.0,3
2003-03-15,0.3,3
2003-04-15,2.5,3
2003-05-15,5.1,3
2003-06-15,6.2,3
2003-07-15,5.0,3
2003-08-15,6.0,3
2003-09-15,4.5,3
2003-10-15,2.3,3
2003-11-15,0.0,3
2003-12-15,0.0,3
2004-01-15,0.0,3
2004-02-15,0.0,3
2004-03-15,0.5,3
2004-04-15,3.5,3
2004-05-15,5.0,3
2004-06-15,3.8,3
2004-07-15,4.3,3
2004-08-15,5.1,3
2004-09-15,4.3,3
2004-10-15,2.4,3
2004-11-15,0.0,3
2004-12-15,0.0,3
2005-01-15,0.0,1
2005-02-15,0.0,1
2005-03-15,0.0,1
2005-04-15,3.5,1
2005-05-15,4.5,1
2005-06-15,5.5,1
2005-07-15,6.5,1
2005-08-15,2.6,1
2005-09-15,0.0,1
2005-10-15,0.0,1
2005-11-15,0.0,1
2005-12-15,0.0,1
2006-01-15,0.0,1
2006-02-15,0.0,1
2006-03-15,0.0,1
2006-04-15,3.5,1
2006-05-15,4.5,1
2006-06-15,5.5,1
2006-07-15,6.5,1
2006-08-15,3.4,1
2006-09-15,0.0,1
2006-10-15,0.0,1
2006-11-15,0.0,1
2006-12-15,0.0,1
2007-01-15,0.74,3
2007-02-15,0.66,3
2007-03-15,0.74,3
2007-04-15,1.42,3
2007-05-15,4.84,3
2007-06-15,4.82,3
2007-07-15,5.5,3
2007-08-15,4.96,3
2007-09-15,0.8999999999999999,3
2007-10-15,0.8,3
2007-11-15,0.71,3
2007-12-15,0.74,3
2008-01-15,0.0,5
2008-02-15,0.2,5
2008-03-15,0.6,5
2008-04-15,5.1000000000000005,5
2008-05-15,5.760000000000001,5
2008-06-15,5.7700000000000005,5
2008-07-15,5.94,5
2008-08-15,5.7299999999999995,5
2008-09-15,5.5200000000000005,5
2008-10-15,4.1,5
2008-11-15,0.2,5
2008-12-15,0.0,5
2009-01-15,0.0,6
2009-02-15,0.0,6
2009-03-15,0.4,6
2009-04-15,8.01,6
2009-05-15,7.26,6
2009-06-15,9.830000000000002,6
2009-07-15,9.78,6
2009-08-15,14.620000000000001,6
2009-09-15,8.8,6
2009-10-15,0.87,6
2009-11-15,0.13,6
2009-12-15,0.1,6
2010-01-15,0.0,5
2010-02-15,0.0,5
2010-03-15,0.1,5
2010-04-15,6.62,5
2010-05-15,9.469999999999999,5
2010-06-15,9.73,5
2010-07-15,9.879999999999999,5
2010-08-15,7.75,5
2010-09-15,4.92,5
2010-10-15,2.68,5
2010-11-15,0.03,5
2010-12-15,0.0,5
2011-01-15,0.0,3
2011-02-15,0.0,3
2011-03-15,0.0,3
2011-04-15,8.018,3
2011-05-15,13.452,3
2011-06-15,10.811,3
2011-07-15,12.249,3
2011-08-15,3.239,3
2011-09-15,2.963,3
2011-10-15,0.429,3
2011-11-15,0.096,3
2011-12-15,0.0,3
2012-01-15,0.0,1
2012-02-15,0.0,1
2012-03-15,0.815,2
2012-04-15,4.007,5
2012-05-15,18.628,5
2012-06-15,12.876,5
2012-07-15,6.409,5
2012-08-15,17.287,5
2012-09-15,9.921,5
2012-10-15,1.891,4
2012-11-15,0.0,1
2012-12-15,0.0,1
2013-01-15,0.2,2
2013-02-15,0.2,2
2013-03-15,0.2,2
2013-04-15,4.759,5
2013-05-15,7.636,6
2013-06-15,9.308,8
2013-07-15,12.841,8
2013-08-15,9.436,8
2013-09-15,3.223,5
2013-10-15,3.14,5
2013-11-15,0.268,4
2013-12-15,0.2,2
2014-01-15,0.09,4
2014-02-15,0.05,4
2014-03-15,0.774,4
2014-04-15,6.79,5
2014-05-15,4.539,6
2014-06-15,9.915000000000001,8
2014-07-15,8.754,8
2014-08-15,5.47,7
2014-09-15,0.892,5
2014-10-15,0.832,4
2014-11-15,0.69,4
2014-12-15,0.2,4
2015-01-15,0.26,5
2015-02-15,0.245,5
2015-03-15,0.5740000000000001,5
2015-04-15,3.389,6
2015-05-15,10.486,6
2015-06-15,13.761000000000001,11
2015-07-15,20.925,8
2015-08-15,16.114,8
2015-09-15,5.394,8
2015-10-15,2.723,6
2015-11-15,0.731,5
2015-12-15,0.776,5
2016-01-15,0.498,4
2016-02-15,1.15,4
2016-03-15,0.567,4
2016-04-15,4.928,7
2016-05-15,10.369,7
2016-06-15,8.34,9
2016-07-15,9.563,9
2016-08-15,10.381,8
2016-09-15,5.726,7
2016-10-15,2.9850000000000003,7
2016-11-15,0.606,5
2016-12-15,0.597,3
2017-01-15,0.306,5
2017-02-15,0.39999999999999997,5
2017-03-15,0.8029999999999999,5
2017-04-15,2.219,6
2017-05-15,10.363000000000001,6
2017-06-15,18.174,9
