ID,NAZICO,OBEC,MVM
321210_POV,Golf Resort Cihelny-závlaha sportovních areálů,Karlovy Vary,3750.588
321710_POV,Golfové hřiště Dolní Rychnov,Dolní Rychnov,3584.37
322080_POV,Golf Lázně Kynžvart,Lázně Kynžvart,1670.136
321210_POV,Astoria Golf Resort -závlaha sportovních areálů,Karlovy Vary,1666.9279999999999
320740_POV,Parky Karlovy Vary,Karlovy Vary,1165.535
320740_POV,Správa parků Karlovy Vary,Karlovy Vary,999.03
322080_POV,T.I.S. Bohemia Golf Lázně Kynžvart,Lázně Kynžvart,835.068
320710_POV,Chetes Cheb,Cheb,627.05
322080_POV,Bohemia Golf Lázně Kynžvart,Lázně Kynžvart,417.534
321210_POV,CGC Cihelny-závlaha sportovních areálů,Karlovy Vary,416.732
321360_POV,Správa parků K.Vary - Dvořákovy sady,Karlovy Vary,383.16
323140_POV,Zahradkářský svaz U Jodoka,Cheb,267.93
320711_POV,Chetes Cheb,Cheb,248.517
322170_POD,Zahrádky - studny Š1-5,Pomezí Nad Ohří,205.434
321360_POV,Správa parků K.Vary,Karlovy Vary,143.685
322140_POV,Město Sokolov areál Bohemia,Sokolov,40.98
321350_POV,Parky K. Vary - Smetanovy sady,Karlovy Vary,26.187
323130_POV,Zahrádkářský svaz Cheb - osada Maškov,Cheb,24.8
321350_POV,Správa parků K. Vary - Smetanovy sady,Karlovy Vary,17.458000000000002
321360_POD,Lázně K. Vary,Karlovy Vary,14.92
323130_POV,Zahrádkářský svaz Cheb,Cheb,12.4
321360_POD,Správa parků K. Vary - Smetanovy sady,Karlovy Vary,7.46
360743_POV,"závlaha fotb. hřišť, tenis. kurtů - SOTES Sokolov",Sokolov,4.45
361237_POV,Vojenské lesy a statky - závlaha lesní školky,Doupovské Hradiště,1.377
360438_POV,rostlinná výroba - MAVEX AGRO spol. s. r. o.,Cheb,1.37
360856_POV,závlaha vzdušného líce hráze,Nový Kostel,0.4
360161_POV,zálivka pozemku (hřiště) - Obec Svatava,Svatava,0.21300000000000002
360472_POV,zálivka jahodníků - Tomáš Baloun,Šabina,0.012
