ID,TOTAL_OD_ZIV_V,N_YEARS,FIRST_YEAR,LAST_YEAR,NAZICO,OBEC,X,Y
321591_POV,3849.51,4,2008,2011,České rybářství - oteplená voda,Březová,-870558.0,-1017548.0
321590_POV,3494.9,5,2007,2011,České rybářství Tisová-rybochovný objekt,Březová,-870559.0,-1017547.0
321160_POV,74.0,21,2002,2022,Statek  Odeř - lom zatopený,Hroznětín,-851733.0,-1002750.0
310830_POD,27.363,5,2018,2022,"Farma Otročín HV1,3,4,VS1,VS2",Otročín,-851358.0,-1033242.0
321280_POD,16.966,14,2009,2022,Statek Zeos Sadov - Stráň,Sadov,-843774.0,-1007199.0
321370_POD,8.9,5,2007,2012,Agrokombinát Palič,Lipová,-881451.0,-1030870.0
323131_POV,8.17,4,2019,2022,AGRO&KOMBINÁT D. Žandov s. r. o.,Milíkov,-878127.0,-1027312.0
322110_POD,7.2,1,2014,2014,RVES BUBLAVA  - jatka,Kraslice,-880785.0,-997931.0
321282_POD,4.711,1,2022,2022,"Vodovod Sedlečko - Šemnice, Sedlečko",Šemnice,-843921.0,-1011629.0
321180_POD,4.3,2,2002,2003,Vojenské ley Velichov,HRADIŠTĚ,-861019.0,-996341.0
321283_POD,0.388,1,2022,2022,Vodovod Nová Kyselka,Kyselka,-841680.0,-1009489.0
