DTM,TOTAL_MVM,N_IDS
2000-01-15,4.0,1
2000-02-15,3.7,1
2000-03-15,3.9,1
2000-04-15,3.8,1
2000-05-15,3.9,1
2000-06-15,3.8,1
2000-07-15,3.9,1
2000-08-15,3.9,1
2000-09-15,3.7,1
2000-10-15,3.8,1
2000-11-15,3.7,1
2000-12-15,3.9,1
2001-01-15,4.0,1
2001-02-15,3.3,1
2001-03-15,3.8,1
2001-04-15,3.6,1
2001-05-15,3.9,1
2001-06-15,3.7,1
2001-07-15,3.9,1
2001-08-15,3.9,1
2001-09-15,3.8,1
2001-10-15,3.8,1
2001-11-15,3.5,1
2001-12-15,3.7,1
2002-01-15,5.3,2
2002-02-15,4.699999999999999,2
2002-03-15,5.3,2
2002-04-15,5.1,2
2002-05-15,5.4,2
2002-06-15,5.2,2
2002-07-15,5.4,2
2002-08-15,5.4,2
2002-09-15,5.3,2
2002-10-15,5.3,2
2002-11-15,5.0,2
2002-12-15,5.1,2
2003-01-15,6.9,2
2003-02-15,7.1,2
2003-03-15,6.2,2
2003-04-15,8.3,2
2003-05-15,6.3,2
2003-06-15,7.6,2
2003-07-15,9.4,2
2003-08-15,7.0,2
2003-09-15,8.2,2
2003-10-15,6.9,2
2003-11-15,8.6,2
2003-12-15,7.0,2
2004-01-15,4.3,1
2004-02-15,4.1,1
2004-03-15,4.2,1
2004-04-15,4.3,1
2004-05-15,3.8,1
2004-06-15,6.9,1
2004-07-15,4.8,1
2004-08-15,5.1,1
2004-09-15,4.6,1
2004-10-15,4.8,1
2004-11-15,4.4,1
2004-12-15,4.5,1
2005-01-15,8.9,2
2005-02-15,8.2,2
2005-03-15,8.8,2
2005-04-15,8.600000000000001,2
2005-05-15,8.0,2
2005-06-15,8.3,2
2005-07-15,8.3,2
2005-08-15,7.1,2
2005-09-15,6.9,2
2005-10-15,5.800000000000001,2
2005-11-15,5.800000000000001,2
2005-12-15,5.9,2
2006-01-15,7.1,2
2006-02-15,6.6000000000000005,2
2006-03-15,6.8999999999999995,2
2006-04-15,6.7,2
2006-05-15,6.3999999999999995,2
2006-06-15,6.9,2
2006-07-15,7.5,2
2006-08-15,6.9,2
2006-09-15,6.699999999999999,2
2006-10-15,6.4,2
2006-11-15,6.4,2
2006-12-15,6.4,2
2007-01-15,409.40000000000003,4
2007-02-15,345.2,4
2007-03-15,428.0,4
2007-04-15,311.70000000000005,4
2007-05-15,345.3,4
2007-06-15,245.3,4
2007-07-15,217.7,4
2007-08-15,194.1,4
2007-09-15,165.29999999999998,4
2007-10-15,257.70000000000005,4
2007-11-15,349.40000000000003,4
2007-12-15,307.6,4
2008-01-15,373.0,4
2008-02-15,404.5,4
2008-03-15,537.6,4
2008-04-15,639.8499999999999,4
2008-05-15,652.86,4
2008-06-15,517.36,4
2008-07-15,448.36,4
2008-08-15,430.16,4
2008-09-15,370.36,4
2008-10-15,458.75,4
2008-11-15,481.3,4
2008-12-15,422.2,4
2009-01-15,448.66,5
2009-02-15,415.23,5
2009-03-15,614.06,5
2009-04-15,648.71,5
2009-05-15,638.36,5
2009-06-15,554.1800000000001,5
2009-07-15,451.31,5
2009-08-15,415.71,5
2009-09-15,371.68,5
2009-10-15,416.01,5
2009-11-15,434.73,5
2009-12-15,381.05999999999995,5
2010-01-15,448.5,4
2010-02-15,414.55,4
2010-03-15,616.65,4
2010-04-15,650.9,4
2010-05-15,636.65,4
2010-06-15,455.2,4
2010-07-15,456.39,4
2010-08-15,411.4,4
2010-09-15,371.90000000000003,4
2010-10-15,416.6,4
2010-11-15,433.94,4
2010-12-15,380.29999999999995,4
2011-01-15,409.395,5
2011-02-15,393.63300000000004,5
2011-03-15,552.77,5
2011-04-15,674.55,5
2011-05-15,629.121,5
2011-06-15,575.067,5
2011-07-15,603.962,5
2011-08-15,441.589,5
2011-09-15,426.10900000000004,5
2011-10-15,498.699,5
2011-11-15,467.703,5
2011-12-15,389.224,5
2012-01-15,421.913,6
2012-02-15,416.354,6
2012-03-15,547.812,6
2012-04-15,561.273,6
2012-05-15,677.3000000000001,6
2012-06-15,685.319,6
2012-07-15,548.368,6
2012-08-15,419.636,6
2012-09-15,441.96,6
2012-10-15,469.55899999999997,6
2012-11-15,474.565,6
2012-12-15,449.332,6
2013-01-15,515.656,5
2013-02-15,465.395,5
2013-03-15,514.962,5
2013-04-15,499.56499999999994,5
2013-05-15,516.377,5
2013-06-15,500.39799999999997,5
2013-07-15,519.843,5
2013-08-15,519.46,5
2013-09-15,501.566,5
2013-10-15,515.933,5
2013-11-15,499.078,5
2013-12-15,515.52,5
2014-01-15,516.8779999999999,6
2014-02-15,467.35999999999996,6
2014-03-15,517.24,6
2014-04-15,500.6019999999999,6
2014-05-15,517.341,6
2014-06-15,500.69199999999995,6
2014-07-15,518.346,6
2014-08-15,518.348,6
2014-09-15,501.388,6
2014-10-15,517.806,6
2014-11-15,500.866,6
2014-12-15,516.9549999999999,6
2015-01-15,366.368,4
2015-02-15,272.614,4
2015-03-15,259.801,4
2015-04-15,260.396,4
2015-05-15,225.278,4
2015-06-15,131.943,4
2015-07-15,153.761,4
2015-08-15,165.02,4
2015-09-15,185.74800000000002,4
2015-10-15,271.59,4
2015-11-15,317.591,4
2015-12-15,358.209,4
2016-01-15,329.70799999999997,4
2016-02-15,316.624,4
2016-03-15,340.257,4
2016-04-15,366.20300000000003,4
2016-05-15,393.493,4
2016-06-15,203.884,4
2016-07-15,207.56700000000004,4
2016-08-15,148.363,4
2016-09-15,378.50100000000003,4
2016-10-15,458.02000000000004,4
2016-11-15,369.00800000000004,4
2016-12-15,356.95399999999995,4
2017-01-15,380.06,4
2017-02-15,339.33,4
2017-03-15,360.13800000000003,4
2017-04-15,343.37,4
2017-05-15,444.511,4
2017-06-15,348.001,4
2017-07-15,363.592,4
2017-08-15,151.233,4
2017-09-15,356.987,4
2017-10-15,328.726,4
2017-11-15,356.47999999999996,4
2017-12-15,367.3,4
2018-01-15,299.651,5
2018-02-15,310.142,5
2018-03-15,366.408,5
2018-04-15,388.796,5
2018-05-15,342.416,5
2018-06-15,178.634,5
2018-07-15,111.671,5
2018-08-15,102.76899999999999,5
2018-09-15,296.623,5
2018-10-15,345.399,5
2018-11-15,302.057,5
2018-12-15,353.416,5
2019-01-15,390.351,6
2019-02-15,275.90200000000004,6
2019-03-15,218.552,6
2019-04-15,200.893,6
2019-05-15,287.27500000000003,6
2019-06-15,200.26500000000001,6
2019-07-15,135.034,6
2019-08-15,11.314,6
2019-09-15,10.475999999999999,6
2019-10-15,64.051,6
2019-11-15,114.70799999999998,6
2019-12-15,101.362,6
2020-01-15,103.454,6
2020-02-15,96.39,6
2020-03-15,99.35,6
2020-04-15,13.094999999999999,6
2020-05-15,11.474,6
2020-06-15,11.953,6
2020-07-15,12.454,6
2020-08-15,12.059000000000001,6
2020-09-15,94.514,6
2020-10-15,97.83200000000001,6
2020-11-15,94.874,6
2020-12-15,98.272,6
2021-01-15,105.69999999999999,6
2021-02-15,93.348,6
2021-03-15,98.29,6
2021-04-15,85.016,6
2021-05-15,66.893,6
2021-06-15,104.021,6
2021-07-15,34.098,6
2021-08-15,107.13699999999999,6
2021-09-15,104.458,6
2021-10-15,109.85,6
2021-11-15,103.89,6
2021-12-15,85.736,6
2022-01-15,111.444,8
2022-02-15,91.735,8
2022-03-15,111.58399999999999,8
2022-04-15,98.149,8
2022-05-15,100.938,8
2022-06-15,25.04,8
2022-07-15,104.319,8
2022-08-15,110.775,8
2022-09-15,105.387,8
2022-10-15,114.392,8
2022-11-15,105.671,8
2022-12-15,110.53200000000001,8
