ID,NAZICO,OBEC,MVM
321591_POV,České rybářství - oteplená voda,Březová,355048.728
321590_POV,České rybářství Tisová-rybochovný objekt,Březová,74699.592
321590_POV,$České rybářství Tisová,Březová,18674.898
321160_POV,Statek Odeř - lom zatopený,Hroznětín,18279.324
321160_POV,Statek Odeř,Hroznětín,9139.662
321280_POD,Statek Zeos Sadov - Stráň,Sadov,2176.278
310830_POD,"Farma Otročín HV1,3,4",Otročín,505.293
321180_POD,Vojenské ley Velichov,Hradiště,498.756
310830_POD,"Farma Otročín HV1,3,4,VS1,VS2",Otročín,336.862
321370_POD,Agrokombinát Palič,Lipová,208.60999999999999
321280_POD,Staek Zeos Sadov - Stráň,Sadov,167.406
323131_POV,AGRO&KOMBINÁT D. Žandov s. r. o.,Milíkov,128.85999999999999
321282_POD,"Vodovod Sedlečko - Šemnice, Sedlečko",Šemnice,7.718999999999999
322110_POD,RVES BUBLAVA - jatka,Kraslice,7.199999999999999
321283_POD,Vodovod Nová Kyselka,Kyselka,1.8599999999999999
