OBEC,MVM
Březová,2078263.333
Loket,1104453.637
Sokolov,889298.279
BŘEZOVÁ,783727.785
TATROVICE,423997.12
SOKOLOV,265476.28
Stanovice,166823.769
Vřesová,141690.12
HRADIŠTĚ,63944.014
Hradiště,44367.198
Nejdek,34608.567
Teplá,31422.454
NEJDEK,26800.273
CHEB,18328.343
VYSOKÁ PEC,12495.108
Nová Ves,9012.196
TEPLÁ,8977.844
Karlovy Vary,5270.126
Ovesné Kladruby,4488.9220000000005
KARLOVY VARY,4341.256
Mnichov,4010.212
NOVÁ VES,3733.83
Cheb,3096.848
MNICHOV,2861.85
Lázně Kynžvart,2578.214
Nová Role,1841.978
Lipová,1325.956
Bečov nad Teplou,716.958
ÚSTÍ NAD LABEM - MĚSTO,505.293
Stružná,466.42
Sadov,436.824
Kyselka,422.88
KYSELKA,317.16
Dolní Rychnov,238.958
Stříbrná,19.571
Bublava,6.8
Františkovy Lázně,4.774
Jindřichovice,1.925
