ID,NAZICO,OBEC,MVM
320890_POV,ČEZ Tisová,BŘEZOVÁ,783727.785
321591_POV,Elektrárna Tisová pro KD Invest-oteplená voda,Březová,710097.456
320890_POV,Elektrárna Tisová,Březová,696646.92
320632_POV,SU  Tatrovice,TATROVICE,423997.12
320630_POV,SU Loket - ČS Loket,Loket,385018.152
320890_POV,ČEZ Tisová,Březová,348323.46
321270_POV,SU lom zatápění  Medard - Libík,Sokolov,339723.988
320634_POV,SU - převod vody do Chodovského potoka,Loket,325459.729
320630_POV,SU Loket - zásobení jiných subjektů,Loket,256678.768
320840_POV,"Synthomer, a.s. Sokolov",Sokolov,199107.21
321591_POV,České rybářství - oteplená voda,Březová,177524.364
321270_POV,SU - lom zatápění  Medard - Libík,Sokolov,169861.994
320208_POV,Vak  Stanovice - Teplá pro ÚV Březová,Stanovice,166823.769
320631_POV,SU Vřesová-retenční nádrž,Vřesová,141690.12
320630_POV,SU Loket - náhradní odběr,Loket,128339.384
320840_POV,"Momentive Specialty Chemicals, a.s.",Sokolov,99553.605
320840_POV,"Hexion Specialty Chemicals, a.s.",SOKOLOV,99553.605
321591_POV,Tisová - oteplená voda,Březová,88762.182
320840_POV,Eastman  Sokolov,SOKOLOV,66369.07
320840_POV,RSM Chemacryl Sokolov,SOKOLOV,66369.07
320840_POV,"Hexion, a.s. Sokolov",Sokolov,66369.07
321590_POV,České rybářství Tisová-rybochovný objekt,Březová,37349.796
320700_POV,VLNAP a.s.,Nejdek,33712.74
320840_POV,"Momentive Specialty Chemicals, a.s.",SOKOLOV,33184.535
320900_POD,KMV Aquila,HRADIŠTĚ,31918.356
321390_POV,Povodí Ohře - z VD Podhora do VD M. Lázně,Teplá,31422.454
320900_POD,"KMV Aquila - HV26,27,29B,30,28A.1A",Hradiště,21278.904
321590_POV,Tisová-rybochovný objekt,Březová,18674.898
320770_POV,Tekaz  Cheb,CHEB,18202.933
320700_POV,"Vlnap a.s., Nejdek",NEJDEK,16856.37
320780_POV,Metalis  Nejdek,VYSOKÁ PEC,12495.108
322090_POV,SU vodní areál Michal - převod vody do VD,Sokolov,11412.8
320900_POD,KMV Aquila -Hradiště,HRADIŠTĚ,10639.452
320900_POD,KMV Aquila,Hradiště,10639.452
321390_POV,Povodí Ohře  Podhora,TEPLÁ,8977.844
320633_POV,SU - ostatní subjekty,Loket,8957.604
320902_POD,KMV Aquila,HRADIŠTĚ,5964.726
320700_POV,Vlnap  Nejdek,NEJDEK,5618.79
320900_POD,AQUILA-Hradiště,HRADIŠTĚ,5319.726
320900_POD,"KMV Aquila - HV26,27,29,30,28A.1A",Hradiště,5319.726
321641_POD,"Minerální vody Mattoni - HV 9,10,12A",Nová Ves,4978.44
321390_POV,Povodí Ohře - z VD Podhora do VD M. Lázně,Ovesné Kladruby,4488.9220000000005
321641_POD,Pitná voda Mnichov,NOVÁ VES,3733.83
320720_POV,Teplárna Karlovy Vary,KARLOVY VARY,3575.493
322020_POD,KMV Aquila,HRADIŠTĚ,3087.368
320902_POD,"KMV Aquila - HV18,19,37,38",Hradiště,2982.363
320700_POV,VLNAP a.s.,NEJDEK,2809.395
320770_POV,Tekaz  Cheb,Cheb,2600.419
321641_POD,Pitná voda Mnichov,Nová Ves,2489.22
140222_POD,DLL Lázně Kynžvart,Lázně Kynžvart,2401.2000000000003
321640_POD,Pitná voda   Mnichov,MNICHOV,2384.875
322020_POD,"KMV Aquila HV51a,53,62",Hradiště,2315.526
322020_POD,"KMV Aquila HV51a,53,62",HRADIŠTĚ,2315.526
322200_POV,Město Karlovy Vary - volnočasový areál,Karlovy Vary,2157.6
320902_POD,KMV Aquila Hradiště,HRADIŠTĚ,1988.242
320720_POV,Teplárna Karlovy Vary,Karlovy Vary,1986.385
321640_POD,"Minerální vody Mattoni - HV37,39,40,41",Mnichov,1907.9
321300_POV,Thun  Nová Role - Vojkův rybník,Nová Role,1692.848
322090_VYP,SU vodní areál Michal - převod vody,Sokolov,1630.4
322090_POV,SU vodní areál Michal - převod vody,Sokolov,1630.4
321530_POD,AYIN  Vysoká Pec,NEJDEK,1515.718
322030_POD,Obec Lipová,Lipová,1325.956
322030_POD,KMV Aquila,HRADIŠTĚ,1325.956
321641_POD,"Minerální vody Mnichov - HV 9, 10, 12A",Nová Ves,1244.61
320902_POD,KMV Aquila,Hradiště,994.121
320902_POD,Aquila Hradiště,HRADIŠTĚ,994.121
322201_POV,Volnočasový areál Rolava-přivaděč vody,Karlovy Vary,959.636
321640_POD,Pitná voda   Mnichov,Mnichov,953.95
321550_POV,Nejdecká česárna,Nejdek,895.827
322020_POD,"Minerální vody Aquila HV51a,53,62",Hradiště,771.842
320215_POD,Vak K.Vary Bečov,Bečov nad Teplou,716.958
320910_POV,SU - úpravna a třídírna uhlí Tisová,Březová,605.549
310830_POD,České dráhy - Ústí nad Labem,ÚSTÍ NAD LABEM - MĚSTO,505.293
320740_POV,Parky  Karlovy Vary,KARLOVY VARY,499.515
321640_POD,"Pitná voda Mnichov - HV 37, 39, 40, 41",Mnichov,476.975
321640_POD,Minerální vody   Mnichov,MNICHOV,476.975
321640_POD,"Minerální vody Mnichov - HV37,39,40,41",Mnichov,476.975
320214_POD,Vak K.Vary Stružná,Stružná,466.42
320710_POV,Chetes  Cheb,Cheb,438.935
321961_POD,Minerální vody Mattoni HV 60A,HRADIŠTĚ,390.541
320903_POD,KMV Aquila,KYSELKA,317.16
320903_POD,KMV Aquila - HV17,Kyselka,317.16
321992_POD,Minerální vody Magnesia HV33,Nová Ves,299.926
320890_POD,Elektrárna Tisová-čerpání POD,Březová,278.70799999999997
321090_POD,Betonárka Sadov,Sadov,269.418
320860_POV,Porcelán  Stará Role,KARLOVY VARY,266.248
321710_POV,Golfové hřiště Dolní Rychnov,Dolní Rychnov,238.958
321930_POD,"Domov """"""""PRAMEN"""""""" Mnichov",Mnichov,194.412
140223_POD,DLL Lázně Kynžvart,Lázně Kynžvart,177.014
321280_POD,Statek Zeos Sadov - Stráň,Sadov,167.406
320740_POV,Správa parků Karlovy Vary,Karlovy Vary,166.505
321320_POV,Thun Nová Role - novorolský rybník,Nová Role,149.13
320710_POV,Chetes  Cheb,CHEB,125.41
320903_POD,KMV Aquila,Kyselka,105.72
321971_POD,Minerální vody Mattoni HJ 4,Hradiště,65.264
321620_POV,Kamenolom-DRAGOUN Pavel,Cheb,57.373999999999995
320641_POV,ARC-leasing - zasněžování,Stříbrná,19.213
320642_POV,SKi areál Bublava,Bublava,6.8
321440_POV,Město Františkovy Lázně - Labutí jezírko,Františkovy Lázně,4.774
360743_POV,"závlaha fotb. hřišť, tenis. kurtů - SOTES Sokolov",Sokolov,4.45
321000_POV,Město Sokolov areál Bohemia,Sokolov,4.362
370285_POD,"Sokolovská uhelná, p. n., a. s. - vrtaná studna",Jindřichovice,1.925
370255_POD,Obec Stříbrná - vývěr podzemní vody,Stříbrná,0.358
370280_POD,ČS PHM MOL Svatý Kříž - vrtaná studna,Cheb,0.12
