OBEC,OBEC_CLEAN,Indicator,Years,Region and municipalities-Region,Region and municipalities-Municipality,Hodnota
Aš,Aš,Population as at 31. 12.,2022,Karlovarský kraj,Aš,12804
Aš,Aš,Population as at 31. 12.,2021,Karlovarský kraj,Aš,12483
Aš,Aš,Population as at 31. 12.,2020,Karlovarský kraj,Aš,13105
Aš,Aš,Population as at 31. 12.,2019,Karlovarský kraj,Aš,13182
Aš,Aš,Population as at 31. 12.,2018,Karlovarský kraj,Aš,13210
Aš,Aš,Population as at 31. 12.,2017,Karlovarský kraj,Aš,13245
Aš,Aš,Population as at 31. 12.,2016,Karlovarský kraj,Aš,13227
Aš,Aš,Population as at 31. 12.,2015,Karlovarský kraj,Aš,13190
Aš,Aš,Population as at 31. 12.,2014,Karlovarský kraj,Aš,13204
Aš,Aš,Population as at 31. 12.,2013,Karlovarský kraj,Aš,13163
Aš,Aš,Population as at 31. 12.,2012,Karlovarský kraj,Aš,13076
Aš,Aš,Population as at 31. 12.,2011,Karlovarský kraj,Aš,13054
Aš,Aš,Population as at 31. 12.,2010,Karlovarský kraj,Aš,13413
Aš,Aš,Population as at 31. 12.,2009,Karlovarský kraj,Aš,13412
Aš,Aš,Population as at 31. 12.,2008,Karlovarský kraj,Aš,13373
Aš,Aš,Population as at 31. 12.,2007,Karlovarský kraj,Aš,13261
Aš,Aš,Population as at 31. 12.,2006,Karlovarský kraj,Aš,12957
Aš,Aš,Population as at 31. 12.,2005,Karlovarský kraj,Aš,12840
Aš,Aš,Population as at 31. 12.,2004,Karlovarský kraj,Aš,12814
Aš,Aš,Population as at 31. 12.,2003,Karlovarský kraj,Aš,12866
Aš,Aš,Population as at 31. 12.,2002,Karlovarský kraj,Aš,12676
Aš,Aš,Population as at 31. 12.,2001,Karlovarský kraj,Aš,12582
Aš,Aš,Population as at 31. 12.,2000,Karlovarský kraj,Aš,12260
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2022,Karlovarský kraj,Bečov nad Teplou,935
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2021,Karlovarský kraj,Bečov nad Teplou,918
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2020,Karlovarský kraj,Bečov nad Teplou,954
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2019,Karlovarský kraj,Bečov nad Teplou,942
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2018,Karlovarský kraj,Bečov nad Teplou,934
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2017,Karlovarský kraj,Bečov nad Teplou,933
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2016,Karlovarský kraj,Bečov nad Teplou,950
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2015,Karlovarský kraj,Bečov nad Teplou,942
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2014,Karlovarský kraj,Bečov nad Teplou,954
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2013,Karlovarský kraj,Bečov nad Teplou,955
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2012,Karlovarský kraj,Bečov nad Teplou,965
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2011,Karlovarský kraj,Bečov nad Teplou,988
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2010,Karlovarský kraj,Bečov nad Teplou,1021
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2009,Karlovarský kraj,Bečov nad Teplou,1003
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2008,Karlovarský kraj,Bečov nad Teplou,986
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2007,Karlovarský kraj,Bečov nad Teplou,989
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2006,Karlovarský kraj,Bečov nad Teplou,989
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2005,Karlovarský kraj,Bečov nad Teplou,984
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2004,Karlovarský kraj,Bečov nad Teplou,973
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2003,Karlovarský kraj,Bečov nad Teplou,976
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2002,Karlovarský kraj,Bečov nad Teplou,988
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2001,Karlovarský kraj,Bečov nad Teplou,990
Bečov Nad Teplou,Bečov Nad Teplou,Population as at 31. 12.,2000,Karlovarský kraj,Bečov nad Teplou,998
Bochov,Bochov,Population as at 31. 12.,2022,Karlovarský kraj,Bochov,1909
Bochov,Bochov,Population as at 31. 12.,2021,Karlovarský kraj,Bochov,1908
Bochov,Bochov,Population as at 31. 12.,2020,Karlovarský kraj,Bochov,1945
Bochov,Bochov,Population as at 31. 12.,2019,Karlovarský kraj,Bochov,1983
Bochov,Bochov,Population as at 31. 12.,2018,Karlovarský kraj,Bochov,1980
Bochov,Bochov,Population as at 31. 12.,2017,Karlovarský kraj,Bochov,1989
Bochov,Bochov,Population as at 31. 12.,2016,Karlovarský kraj,Bochov,2042
Bochov,Bochov,Population as at 31. 12.,2015,Karlovarský kraj,Bochov,2023
Bochov,Bochov,Population as at 31. 12.,2014,Karlovarský kraj,Bochov,2015
Bochov,Bochov,Population as at 31. 12.,2013,Karlovarský kraj,Bochov,2002
Bochov,Bochov,Population as at 31. 12.,2012,Karlovarský kraj,Bochov,2034
Bochov,Bochov,Population as at 31. 12.,2011,Karlovarský kraj,Bochov,2070
Bochov,Bochov,Population as at 31. 12.,2010,Karlovarský kraj,Bochov,2070
Bochov,Bochov,Population as at 31. 12.,2009,Karlovarský kraj,Bochov,2060
Bochov,Bochov,Population as at 31. 12.,2008,Karlovarský kraj,Bochov,2036
Bochov,Bochov,Population as at 31. 12.,2007,Karlovarský kraj,Bochov,2031
Bochov,Bochov,Population as at 31. 12.,2006,Karlovarský kraj,Bochov,1978
Bochov,Bochov,Population as at 31. 12.,2005,Karlovarský kraj,Bochov,1973
Bochov,Bochov,Population as at 31. 12.,2004,Karlovarský kraj,Bochov,1986
Bochov,Bochov,Population as at 31. 12.,2003,Karlovarský kraj,Bochov,1973
Bochov,Bochov,Population as at 31. 12.,2002,Karlovarský kraj,Bochov,1965
Bochov,Bochov,Population as at 31. 12.,2001,Karlovarský kraj,Bochov,1959
Bochov,Bochov,Population as at 31. 12.,2000,Karlovarský kraj,Bochov,1941
Božičany,Božičany,Population as at 31. 12.,2022,Karlovarský kraj,Božičany,676
Božičany,Božičany,Population as at 31. 12.,2021,Karlovarský kraj,Božičany,603
Božičany,Božičany,Population as at 31. 12.,2020,Karlovarský kraj,Božičany,612
Božičany,Božičany,Population as at 31. 12.,2019,Karlovarský kraj,Božičany,630
Božičany,Božičany,Population as at 31. 12.,2018,Karlovarský kraj,Božičany,636
Božičany,Božičany,Population as at 31. 12.,2017,Karlovarský kraj,Božičany,641
Božičany,Božičany,Population as at 31. 12.,2016,Karlovarský kraj,Božičany,603
Božičany,Božičany,Population as at 31. 12.,2015,Karlovarský kraj,Božičany,604
Božičany,Božičany,Population as at 31. 12.,2014,Karlovarský kraj,Božičany,605
Božičany,Božičany,Population as at 31. 12.,2013,Karlovarský kraj,Božičany,611
Božičany,Božičany,Population as at 31. 12.,2012,Karlovarský kraj,Božičany,637
Božičany,Božičany,Population as at 31. 12.,2011,Karlovarský kraj,Božičany,626
Božičany,Božičany,Population as at 31. 12.,2010,Karlovarský kraj,Božičany,619
Božičany,Božičany,Population as at 31. 12.,2009,Karlovarský kraj,Božičany,616
Božičany,Božičany,Population as at 31. 12.,2008,Karlovarský kraj,Božičany,612
Božičany,Božičany,Population as at 31. 12.,2007,Karlovarský kraj,Božičany,615
Božičany,Božičany,Population as at 31. 12.,2006,Karlovarský kraj,Božičany,615
Božičany,Božičany,Population as at 31. 12.,2005,Karlovarský kraj,Božičany,621
Božičany,Božičany,Population as at 31. 12.,2004,Karlovarský kraj,Božičany,615
Božičany,Božičany,Population as at 31. 12.,2003,Karlovarský kraj,Božičany,623
Božičany,Božičany,Population as at 31. 12.,2002,Karlovarský kraj,Božičany,619
Božičany,Božičany,Population as at 31. 12.,2001,Karlovarský kraj,Božičany,628
Božičany,Božičany,Population as at 31. 12.,2000,Karlovarský kraj,Božičany,631
Bublava,Bublava,Population as at 31. 12.,2022,Karlovarský kraj,Bublava,403
Bublava,Bublava,Population as at 31. 12.,2021,Karlovarský kraj,Bublava,386
Bublava,Bublava,Population as at 31. 12.,2020,Karlovarský kraj,Bublava,395
Bublava,Bublava,Population as at 31. 12.,2019,Karlovarský kraj,Bublava,403
Bublava,Bublava,Population as at 31. 12.,2018,Karlovarský kraj,Bublava,404
Bublava,Bublava,Population as at 31. 12.,2017,Karlovarský kraj,Bublava,401
Bublava,Bublava,Population as at 31. 12.,2016,Karlovarský kraj,Bublava,393
Bublava,Bublava,Population as at 31. 12.,2015,Karlovarský kraj,Bublava,392
Bublava,Bublava,Population as at 31. 12.,2014,Karlovarský kraj,Bublava,406
Bublava,Bublava,Population as at 31. 12.,2013,Karlovarský kraj,Bublava,374
Bublava,Bublava,Population as at 31. 12.,2012,Karlovarský kraj,Bublava,375
Bublava,Bublava,Population as at 31. 12.,2011,Karlovarský kraj,Bublava,378
Bublava,Bublava,Population as at 31. 12.,2010,Karlovarský kraj,Bublava,359
Bublava,Bublava,Population as at 31. 12.,2009,Karlovarský kraj,Bublava,323
Bublava,Bublava,Population as at 31. 12.,2008,Karlovarský kraj,Bublava,339
Bublava,Bublava,Population as at 31. 12.,2007,Karlovarský kraj,Bublava,301
Bublava,Bublava,Population as at 31. 12.,2006,Karlovarský kraj,Bublava,300
Bublava,Bublava,Population as at 31. 12.,2005,Karlovarský kraj,Bublava,309
Bublava,Bublava,Population as at 31. 12.,2004,Karlovarský kraj,Bublava,327
Bublava,Bublava,Population as at 31. 12.,2003,Karlovarský kraj,Bublava,334
Bublava,Bublava,Population as at 31. 12.,2002,Karlovarský kraj,Bublava,332
Bublava,Bublava,Population as at 31. 12.,2001,Karlovarský kraj,Bublava,330
Bublava,Bublava,Population as at 31. 12.,2000,Karlovarský kraj,Bublava,341
Březová,Březová,Population as at 31. 12.,2022,Středočeský kraj,Březová,332
Březová,Březová,Population as at 31. 12.,2022,Karlovarský kraj,Březová,662
Březová,Březová,Population as at 31. 12.,2022,Karlovarský kraj,Březová,2638
Březová,Březová,Population as at 31. 12.,2022,Zlínský kraj,Březová,979
Březová,Březová,Population as at 31. 12.,2022,Zlínský kraj,Březová,515
Březová,Březová,Population as at 31. 12.,2022,Moravskoslezský kraj,Březová,1414
Březová,Březová,Population as at 31. 12.,2021,Středočeský kraj,Březová,325
Březová,Březová,Population as at 31. 12.,2021,Karlovarský kraj,Březová,554
Březová,Březová,Population as at 31. 12.,2021,Karlovarský kraj,Březová,2616
Březová,Březová,Population as at 31. 12.,2021,Zlínský kraj,Březová,977
Březová,Březová,Population as at 31. 12.,2021,Zlínský kraj,Březová,509
Březová,Březová,Population as at 31. 12.,2021,Moravskoslezský kraj,Březová,1386
