OBEC,N_RECORDS,N_ABSTRACTIONS
Hradiště,411,26
Cheb,203,22
Kyselka,193,20
Sokolov,183,20
Karlovy Vary,204,18
Nejdek,190,17
Březová,224,15
Nová Ves,243,13
Kraslice,160,10
Odrava,180,10
Mnichov,117,9
Vintířov,163,9
Stříbrná,38,8
Loket,68,8
Nová Role,123,8
Nebanice,59,8
Prameny,78,8
Lomnice,118,7
Krásno,37,7
Habartov,108,7
Božičany,107,7
Kynšperk Nad Ohří,112,7
Oloví,106,6
Vysoká Pec,54,6
Dolní Rychnov,92,5
Nový Kostel,32,5
Jindřichovice,36,5
Citice,101,5
Teplá,51,5
Skalná,77,5
Lázně Kynžvart,89,5
Královské Poříčí,75,5
Velichov,27,5
Bečov Nad Teplou,46,4
Libá,63,4
Nové Sedlo,89,4
Luby,69,4
Sadov,33,4
Šindelová,26,4
Hazlov,26,4
Horní Slavkov,49,4
Josefov,35,3
Křižovatka,47,3
Libavské Údolí,47,3
Vřesová,47,3
Svatava,27,3
Otovice,31,3
Pomezí Nad Ohří,20,3
Milhostov,34,3
Stružná,34,3
Dolní Žandov,61,3
Lipová,41,3
Bublava,28,3
Františkovy Lázně,29,3
Milíkov,9,3
Doupovské Hradiště,3,2
Chodov,42,2
Těšovice,16,2
Okrouhlá,44,2
Rotava,32,2
Šabina,20,2
Plesná,46,2
Rovná,24,2
Dolní Nivy,2,2
Dasnice,35,2
Aš,23,2
Velký Luh,14,2
Třebeň,17,2
Stanovice,38,2
Krajková,42,2
Chlum Svaté Maří,2,1
Bochov,10,1
Děpoltovice,16,1
Hájek,23,1
Hroznětín,23,1
Horní Blatná,5,1
Mírová,22,1
Jáchymov,3,1
Kolová,1,1
Mariánské Lázně,2,1
Kaceřov,15,1
Nové Hamry,11,1
Ovesné Kladruby,1,1
Otročín,5,1
Ostrov,8,1
Tatrovice,21,1
Teplička,6,1
Ústí Nad Labem - Město,3,1
Šemnice,1,1
