ID,TOTAL_MVM,NAZICO,OBEC,OD_VER_V,UPOV_ID
320100_POD,117.603,CHEVAK - Nový Kostel - prameniště,Nový Kostel,3.643,OHL_0140
320101_POD,263.679,CHEVAK Libá  - vrt HV5,Libá,20.362,OHL_0040
320102_POD,277.643,CHEVAK Libá vrt HV6,Libá,20.51,OHL_0040
320105_POD,840.137,CHEVAK Luby II,Luby,14.183,OHL_0140
320106_POD,856.785,CHEVAK  Luby III,Luby,49.078,OHL_0140
320107_POD,1773.34,Chevak Bavory - česká část,Pomezí nad Ohří,20.7,OHL_2075_J
320108_POD,204.99099999999999,CHEVAK - Brtná - studna,Dolní Žandov,9.659,OHL_0190
320109_POD,645.01,CHEVAK - Brtná - prameniště,Dolní Žandov,21.876,OHL_0190
320110_POD,715.618,CHEVAK - Okrouhlá,Okrouhlá,31.275,OHL_0185_J
320113_POD,11680.556,CHEVAK - Odrava-KW 30,Odrava,286.922,OHL_0200
320113_POD,11680.556,CHEVAK - Odrava-KW 30,Odrava,286.922,OHL_0240
320114_POD,10291.606,CHEVAK - Odrava - Studna S1,Odrava,569.993,OHL_0240
320115_POD,7882.135,CHEVAK - Odrava - Studna S2,Odrava,193.935,OHL_0240
320116_POD,565.745,CHEVAK - Odrava - Studna S3,Odrava,15.379,OHL_0240
320117_POD,25768.862,CHEVAK - Loužek Studna S4,Cheb,1523.97,OHL_0240
320118_POD,1586.334,CHEVAK- Kynšperk - Studna S5,Kynšperk nad Ohří,73.518,OHL_0240
320119_POD,2564.281,CHEVAK - Odrava - Studna S6,Odrava,39.37,OHL_0240
320120_POD,57.724000000000004,CHEVAK - Luby I,Luby,1.594,OHL_0140
320121_POD,273.585,CHEVAK - Starý Hrozňatov,Cheb,16.032,OHL_0170
320126_POD,324.125,Chevak Schönberg - česká část,Hazlov,6.638,OHL_0090
320128_POD,3952.953,CHEVAK - Jindřichov vrt,Cheb,233.009,OHL_0080
320129_POD,704.066,CHEVAK - prameniště Lazy,Lázně Kynžvart,24.956,OHL_0190
320132_POD,144.646,CHEVAK - Libá -  vrt 3,Libá,5.086,OHL_0040
320134_POD,8697.664,CHEVAK - Odrava - Studna S7,Odrava,129.732,OHL_0240
320134_POD,8697.664,CHEVAK - Odrava - Studna S7,Odrava,129.732,OHL_0200
320135_POD,10058.974,CHEVAK - Odrava - Studna S8,Odrava,126.9,OHL_0240
320135_POD,10058.974,CHEVAK - Odrava - Studna S8,Odrava,126.9,OHL_0200
320136_POD,11446.614,CHEVAK - Odrava - Studna S9,Odrava,287.838,OHL_0240
320136_POD,11446.614,CHEVAK - Odrava - Studna S9,Odrava,287.838,OHL_0200
320138_POD,65.159,CHEVAK - Nový Kostel - studna,Nový Kostel,10.322,OHL_0140
320204_POD,46.113,VaK K. Vary - Prameny,Prameny,4.887,OHL_0400
320207_POD,22.0,Vak K.Vary Bečov nad Teplou,Bečov nad Teplou,22.0,OHL_0460
320208_POV,166823.769,Vak K.Vary VD Stanovice - Teplá pro ÚV Březová,Stanovice,6370.98,OHL_0045_J
320212_POV,279.863,VaK K.Vary - Nová Ves-ÚV,Nová Ves,10.918,OHL_0330
320214_POD,466.42,Vak K.Vary - Stružná,Stružná,26.605,OHL_0420
320215_POD,716.958,Vak K.Vary - Bečov,Bečov nad Teplou,38.126,OHL_0460
320231_POD,309.117,Vak K. Vary Krásno - důlní,Krásno,28.942,OHL_0330
320237_POD,9.567,Vodní zdroj Lučiny,Hradiště,4.24,OHL_0480
320300_POD,2425.96,VOSS Březová - prameniště,Březová,76.347,OHL_0260
320301_POD,1572.803,VOSS Dolní Rychnov - prameniště,Dolní Rychnov,74.712,OHL_0310
320301_POV,86594.24,VOSS VD Horka,Nový Kostel,3130.462,OHL_0225_J
320302_POD,85.651,VOSS zdroj Háj u Jindřichovic,Jindřichovice,6.907,OHL_0340
