UPOV_ID,TOTAL_MVM,N_IDS,SHARE_%
OHL_0045_J,166823.769,1,38.805446154560094
OHL_0225_J,86594.24,1,20.14298164918606
OHL_0240,69710.428,11,16.215580527768427
OHL_0380,34688.026,3,8.06890009271389
OHL_0200,20941.904,4,4.871367748836598
OHL_0280,6463.607,5,1.5035216798317133
OHL_0350,4951.749,4,1.1518432315864822
OHL_0290,4881.05,7,1.1353976959525207
OHL_0390,4488.9220000000005,1,1.0441834638265501
OHL_0080,4019.912,2,0.9350854473385622
OHL_0370,3690.222,1,0.8583951314478039
OHL_0280_H0,3167.4,1,0.7367797220188308
OHL_0260,2437.791,2,0.5670628829071187
OHL_0140,1937.408,5,0.45066708583603554
OHL_2075_J,1773.34,1,0.41250266851198886
OHL_0190,1582.223,5,0.36804629099949504
OHL_0310,1573.534,3,0.3660251130602952
OHL_0300,1502.459,1,0.3494921147833209
OHL_0250,1335.041,1,0.31054844252817515
OHL_0360,1219.72,1,0.2837232312119746
OHL_0185_J,1088.829,3,0.25327622906675556
OHL_0330,798.159,3,0.18566248852270884
OHL_0460,738.958,2,0.17189154190300918
OHL_0040,685.968,3,0.1595653571869083
OHL_0270,605.549,1,0.14085881918569834
OHL_0400,587.892,3,0.13675156416527579
OHL_0420,466.42,1,0.1084955477502125
OHL_0090,324.125,1,0.07539582225148499
OHL_0170,273.585,1,0.06363954039544163
OHL_0340,236.246,5,0.05495398819475302
OHL_0500,176.98499999999999,3,0.04116908477031723
OHL_0470,121.164,2,0.02818437148408462
OHL_0480,9.567,1,0.002225412515171483
OHL_0160_H0,0.885,1,0.00020586286985750624
OHL_0320,0.748,1,0.00017399483237673973
