ID,TOTAL_MVM,NAZICO,OBEC,SHARE_%,CUM_SHARE_%,RANK
320208_POV,166823.769,Vak K.Vary VD Stanovice - Teplá pro ÚV Březová,Stanovice,40.94501658152256,40.94501658152256,1
320301_POV,86594.24,VOSS VD Horka,Nový Kostel,21.25358163238923,62.198598213911794,2
320840_POV,33184.535,"Synthomer, a.s. Sokolov",Sokolov,8.144770640118532,70.34336885403033,3
320117_POD,25768.862,CHEVAK - Loužek Studna S4,Cheb,6.324677162023397,76.66804601605372,4
320114_POD,10291.606,CHEVAK - Odrava - Studna S1,Odrava,2.5259588657327186,79.19400488178644,5
320115_POD,7882.135,CHEVAK - Odrava - Studna S2,Odrava,1.9345813261945863,81.12858620798103,6
320113_POD,5840.278,CHEVAK - Odrava-KW 30,Odrava,1.433430505641564,82.5620167136226,7
320136_POD,5723.307,CHEVAK - Odrava - Studna S9,Odrava,1.4047212901426782,83.96673800376527,8
320135_POD,5029.487,CHEVAK - Odrava - Studna S8,Odrava,1.2344309797457709,85.20116898351104,9
321390_POV,4488.9220000000005,Povodí Ohře - z VD Podhora do VD M. Lázně,Ovesné Kladruby,1.1017553842891623,86.3029243678002,10
320134_POD,4348.832,CHEVAK - Odrava - Studna S7,Odrava,1.067371870433259,87.37029623823346,11
320128_POD,3952.953,CHEVAK - Jindřichov vrt,Cheb,0.9702078253068324,88.3405040635403,12
321540_POD,3690.222,Město Nejdek - Limnice,Nejdek,0.905723458265107,89.2462275218054,13
321690_POV,3533.012,KMS Kraslice - ÚV Stříbrná,Kraslice,0.8671380330863895,90.11336555489179,14
321500_POV,3230.137,Město  Rotava,Stříbrná,0.7928007730456537,90.90616632793744,15
321250_POD,3167.4,"KMS Kraslice-Hraničná,Staré Údolí",Kraslice,0.7774026824697539,91.6835690104072,16
321540_POV,3087.485,Město Nejdek- ÚV Vysoká Pec,Vysoká Pec,0.7577884451238012,92.441357455531,17
320119_POD,2564.281,CHEVAK - Odrava - Studna S6,Odrava,0.6293739117276703,93.07073136725867,18
321650_POD,2481.2,KMS  Bublava,Bublava,0.6089826153134915,93.67971398257217,19
320300_POD,2425.96,VOSS Březová - prameniště,Březová,0.5954245790125415,94.27513856158471,20
320107_POD,1773.34,Chevak Bavory - česká část,Pomezí nad Ohří,0.43524634492988357,94.71038490651459,21
320118_POD,1586.334,CHEVAK- Kynšperk - Studna S5,Kynšperk nad Ohří,0.3893478268905015,95.09973273340509,22
320301_POD,1572.803,VOSS Dolní Rychnov - prameniště,Dolní Rychnov,0.3860267952252562,95.48575952863035,23
321530_POD,1515.718,"Město Nejdek - Vysoká Pec, Nejdek",Nejdek,0.3720159244388743,95.85777545306922,24
320310_POD,1502.459,VOSS zdroje pro Oloví,Sokolov,0.3687616521124025,96.22653710518162,25
321500_POD,1373.762,Město  Rotava - Lesní - prameniště,Stříbrná,0.33717442188388386,96.56371152706551,26
320650_POV,1335.041,Immogard s.r.o  Libavské Údolí,Libavské Údolí,0.32767078821970785,96.89138231528521,27
321550_POD,1219.72,"Nejdecká česárna vlny- VS1, VS2",Nejdek,0.2993665466508834,97.1907488619361,28
320106_POD,856.785,CHEVAK  Luby III,Luby,0.21028823555592854,97.40103709749202,29
320105_POD,840.137,CHEVAK Luby II,Luby,0.20620217132098614,97.607239268813,30
320215_POD,716.958,Vak K.Vary - Bečov,Bečov nad Teplou,0.17596927209008958,97.78320854090309,31
