YEAR,POPULATION,TOTAL_MVM,N_IDS,PREDICTED_MVM,OBSERVED_PER_CAPITA
2000,294159,22184.46,36,17891.854670369034,0.07541656043160332
2001,293600,20258.5,36,17857.85419184981,0.06900034059945503
2002,293993,20102.19,43,17881.75792719517,0.06837642392846088
2003,294008,20985.95,46,17882.67028350606,0.07137884003156376
2004,294129,19669.3,48,17890.02995774725,0.06687303870070616
2005,293842,18612.96,49,17872.573540332192,0.06334342946209187
2006,294121,17278.63,44,17889.543367714774,0.05874667228793592
2007,296983,18895.72,45,18063.620951832876,0.06362559473101154
2008,298218,18424.061,46,18138.738288096276,0.0617805129133721
2009,297956,17490.94,50,18122.802464532706,0.058703097101585465
2010,297874,17710.07,52,18117.81491669983,0.05945490375125053
2011,293710,16865.343,59,17864.544804796347,0.057421752749310544
2012,292417,17211.676,58,17785.8996907975,0.05886003891702603
2013,291170,15978.193,55,17710.052469485385,0.05487582168492633
2014,290466,16051.834,57,17667.232546627543,0.055262350843127944
2015,289157,16366.024,57,17587.614252563744,0.056599093226171245
2016,287895,16247.089,55,17510.85467494074,0.056434078396637666
2017,286950,16786.279,54,17453.376227354573,0.05849896846140442
2018,286138,16892.579999999998,56,17403.987339058313,0.05903647890178864
2019,286066,16458.845,57,17399.608028766033,0.057535131752812295
2020,284941,15786.589,58,17331.181305449172,0.05540300974587722
2021,275409,15449.781,54,16751.409281754648,0.0560975894033964
2022,285392,15726.62,64,17358.612818529975,0.0551053288108987
