ID,TOTAL_OD_VER_V,N_YEARS,FIRST_YEAR,LAST_YEAR,NAZICO,OBEC,X,Y
320208_POV,8309.6,20,2002,2022,Vak K.Vary VD Stanovice - Teplá pro ÚV Březová,Stanovice,-850382.0,-1017182.0
320301_POV,5219.8,21,2002,2022,VOSS VD Horka,Nový Kostel,-877506.0,-1011564.0
320117_POD,1550.359,21,2002,2022,CHEVAK - Loužek Studna S4,Cheb,-880563.0,-1020059.0
320114_POD,589.707,21,2002,2022,CHEVAK - Odrava - Studna S1,Odrava,-878704.0,-1019680.0
320840_POV,514.573,1,2011,2011,"Momentive Specialty Chemicals, a.s.",Sokolov,-865120.0,-1013635.0
320115_POD,461.374,21,2002,2022,CHEVAK - Odrava - Studna S2,Odrava,-877970.0,-1019954.0
320136_POD,455.023,21,2002,2022,CHEVAK - Odrava - Studna S9,Odrava,-880421.0,-1021557.0
320113_POD,348.596,21,2002,2022,CHEVAK - Odrava-KW 30,Odrava,-880360.0,-1020100.0
320107_POD,337.6,11,2002,2012,Chevak Bavory - česká část,Pomezí nad Ohří,-894751.0,-1021979.0
320135_POD,314.9,20,2002,2021,CHEVAK - Odrava - Studna S8,Odrava,-880318.0,-1021736.0
320134_POD,314.2,21,2002,2022,CHEVAK - Odrava - Studna S7,Odrava,-880373.0,-1021878.0
321690_POV,298.6,21,2002,2022,KMS Kraslice - ÚV Stříbrná,Kraslice,-872866.0,-994513.0
320128_POD,265.9,19,2002,2022,CHEVAK - Jindřichov vrt,Cheb,-885602.0,-1019320.0
321500_POV,235.745,21,2002,2022,Město  Rotava,Stříbrná,-869184.0,-996724.0
321500_POD,207.422,21,2002,2022,Město  Rotava - Lesní - prameniště,Stříbrná,-871161.0,-996059.0
321540_POV,206.96,20,2003,2022,Město Nejdek- ÚV Vysoká Pec,Vysoká Pec,-859641.0,-996671.0
321540_POD,197.3,21,2002,2022,Město Nejdek - Limnice,Nejdek,-857177.0,-998692.0
320119_POD,183.7,21,2002,2022,CHEVAK - Odrava - Studna S6,Odrava,-878128.0,-1019641.0
321250_POD,161.8,20,2002,2022,"KMS Kraslice-Hraničná,Staré Údolí",Kraslice,-877573.0,-994894.0
321550_POD,149.328,6,2002,2007,Obec  Krásno,KRÁSNO,-858256.0,-999456.0
320310_POD,146.5,18,2002,2022,VOSS zdroje pro Oloví,Sokolov,-862972.0,-1018164.0
320300_POD,146.1,21,2002,2022,VOSS Březová - prameniště,Březová,-867007.0,-1018093.0
321650_POD,139.1,21,2002,2022,KMS  Bublava,Bublava,-873396.0,-992825.0
320231_POD,131.2,9,2008,2016,Vak K. Vary Krásno - důlní,Krásno,-858800.0,-1023184.0
320118_POD,130.0,21,2002,2022,CHEVAK- Kynšperk - Studna S5,Kynšperk nad Ohří,-876902.0,-1019904.0
320301_POD,122.5,21,2002,2022,VOSS Dolní Rychnov - prameniště,Dolní Rychnov,-865778.0,-1017239.0
320105_POD,105.2,19,2002,2022,CHEVAK Luby II,Luby,-882937.0,-1001576.0
321390_POV,102.87,2,2002,2014,Povodí Ohře - z VD Podhora do VD M. Lázně,Teplá,-858667.0,-1039705.0
