YEAR,POPULATION,TOTAL_MVM,N_IDS,PREDICTED_MVM,OBSERVED_PER_CAPITA,OBSERVED_Q,PREDICTED_Q,PREDICTED_MVM_V2
2000,294159,22184.46,36,17891.854670369034,0.0754165604316033,0.07541656043160332,0.06872470916241236,20215.991722506056
2001,293600,20258.5,36,17857.85419184981,0.069000340599455,0.06900034059945503,0.06800202436437641,19965.394353380914
2002,293993,20102.19,43,17881.75792719517,0.0683764239284608,0.06837642392846088,0.06727933956634069,19779.6548771272
2003,294008,20985.95,46,17882.67028350606,0.0713788400315637,0.07137884003156376,0.06655665476830475,19568.188955119742
2004,294129,19669.3,48,17890.02995774725,0.0668730387007061,0.06687303870070616,0.06583396997026902,19363.67975338526
2005,293842,18612.96,49,17872.573540332192,0.0633434294620918,0.06334342946209187,0.06511128517223308,19132.43025757931
2006,294121,17278.63,44,17889.543367714774,0.0587466722879359,0.05874667228793592,0.06438860037419736,18938.0395306593
2007,296983,18895.72,45,18063.62095183288,0.0636255947310115,0.06362559473101154,0.06366591557616141,18907.694605555145
2008,298218,18424.061,46,18138.73828809628,0.0617805129133721,0.0617805129133721,0.06294323077812547,18770.804396191023
2009,297956,17490.94,50,18122.802464532702,0.0587030971015854,0.058703097101585465,0.06222054598008975,18538.98499804362
2010,297874,17710.07,52,18117.81491669983,0.0594549037512505,0.05945490375125053,0.061497861182053803,18318.613901743094
2011,293710,16865.343,59,17864.544804796347,0.0574217527493105,0.057421752749310544,0.06077517638401808,17850.27705574995
2012,292417,17211.676,58,17785.8996907975,0.058860038917026,0.05886003891702603,0.06005249158598214,17560.369432098138
2013,291170,15978.193,55,17710.052469485385,0.0548758216849263,0.05487582168492633,0.059329806787946415,17275.059842446357
2014,290466,16051.834,57,17667.232546627543,0.0552623508431279,0.055262350843127944,0.05860712198991047,17023.376295921335
2015,289157,16366.024,57,17587.614252563744,0.0565990932261712,0.056599093226171245,0.05788443719187453,16737.69020509086
2016,287895,16247.089,55,17510.85467494074,0.0564340783966376,0.056434078396637666,0.057161752393838805,16456.58270542422
2017,286950,16786.279,54,17453.376227354573,0.0584989684614044,0.05849896846140442,0.05643906759580286,16195.19044661563
2018,286138,16892.579999999998,56,17403.987339058313,0.0590364789017886,0.05903647890178864,0.05571638279776714,15942.574340987494
2019,286066,16458.845,57,17399.608028766033,0.0575351317528122,0.057535131752812295,0.054993697999731195,15731.827211991103
2020,284941,15786.589,58,17331.181305449172,0.0554030097458772,0.05540300974587722,0.05427101320169547,15464.03677270431
2021,275409,15449.781,54,16751.409281754648,0.0560975894033964,0.0560975894033964,0.05354832840365953,14747.691577323467
2022,285392,15726.62,64,17358.612818529975,0.0551053288108987,0.0551053288108987,0.05282564360562381,15076.01607989619
