DTM,TOTAL_MVM,N_IDS
2000-01-15,1852.63,36
2000-02-15,1750.6,36
2000-03-15,1902.1100000000001,36
2000-04-15,1835.7,36
2000-05-15,1971.0,36
2000-06-15,1939.5,36
2000-07-15,1856.8,36
2000-08-15,1893.0,36
2000-09-15,1787.22,36
2000-10-15,1863.2,36
2000-11-15,1762.3999999999999,36
2000-12-15,1770.3,36
2001-01-15,1763.6,36
2001-02-15,1614.9,36
2001-03-15,1711.5,36
2001-04-15,1706.5,36
2001-05-15,1703.9,36
2001-06-15,1675.8000000000002,36
2001-07-15,1724.4,36
2001-08-15,1748.8,36
2001-09-15,1652.7,36
2001-10-15,1644.4,36
2001-11-15,1683.1,36
2001-12-15,1628.9,36
2002-01-15,1823.8999999999999,43
2002-02-15,1622.54,43
2002-03-15,1729.73,43
2002-04-15,1628.54,43
2002-05-15,1695.28,43
2002-06-15,1600.6100000000001,43
2002-07-15,1697.17,43
2002-08-15,1690.24,43
2002-09-15,1615.1200000000001,43
2002-10-15,1741.6399999999999,43
2002-11-15,1601.72,43
2002-12-15,1655.6999999999998,43
2003-01-15,1707.2,46
2003-02-15,1562.76,46
2003-03-15,1773.21,46
2003-04-15,1693.9099999999999,46
2003-05-15,1730.3700000000001,46
2003-06-15,1808.3500000000001,46
2003-07-15,1751.5900000000001,46
2003-08-15,1972.71,46
2003-09-15,1808.49,46
2003-10-15,1715.04,46
2003-11-15,1748.55,46
2003-12-15,1713.77,46
2004-01-15,1717.36,48
2004-02-15,1593.28,48
2004-03-15,1710.27,48
2004-04-15,1607.64,48
2004-05-15,1615.23,48
2004-06-15,1595.55,48
2004-07-15,1645.49,48
2004-08-15,1771.7,48
2004-09-15,1643.3400000000001,48
2004-10-15,1616.95,48
2004-11-15,1569.51,48
2004-12-15,1582.98,48
2005-01-15,1379.6799999999998,49
2005-02-15,1298.65,49
2005-03-15,1463.02,49
2005-04-15,1428.57,49
2005-05-15,1489.33,49
2005-06-15,1438.45,49
2005-07-15,1433.67,49
2005-08-15,1429.06,49
2005-09-15,1408.1200000000001,49
2005-10-15,1438.77,49
2005-11-15,2986.18,49
2005-12-15,1419.46,49
2006-01-15,1428.29,44
2006-02-15,1374.65,44
2006-03-15,1490.6499999999999,44
2006-04-15,1455.9899999999998,44
2006-05-15,1483.27,44
2006-06-15,1471.25,44
2006-07-15,1514.4399999999998,44
2006-08-15,1388.13,44
2006-09-15,1416.25,44
2006-10-15,1440.71,44
2006-11-15,1400.36,44
2006-12-15,1414.6399999999999,44
2007-01-15,1607.1000000000001,45
2007-02-15,1392.52,45
2007-03-15,1585.53,45
2007-04-15,1616.48,45
2007-05-15,1653.9,45
2007-06-15,1598.85,45
2007-07-15,1628.45,45
2007-08-15,1622.24,45
2007-09-15,1511.06,45
2007-10-15,1614.42,45
2007-11-15,1521.3400000000001,45
2007-12-15,1543.8300000000002,45
2008-01-15,1573.03,46
2008-02-15,1458.51,46
2008-03-15,1544.85,46
2008-04-15,1561.74,46
2008-05-15,1535.48,46
2008-06-15,1595.34,46
2008-07-15,1560.46,46
2008-08-15,1527.43,46
2008-09-15,1549.511,46
2008-10-15,1549.17,46
2008-11-15,1395.52,46
2008-12-15,1573.02,46
2009-01-15,1505.3400000000001,50
2009-02-15,1416.47,50
2009-03-15,1529.78,50
2009-04-15,1514.33,50
2009-05-15,1481.6000000000001,50
2009-06-15,1432.18,50
2009-07-15,1421.8,50
2009-08-15,1471.72,50
2009-09-15,1406.8000000000002,50
2009-10-15,1488.9499999999998,50
2009-11-15,1404.57,50
2009-12-15,1417.4,50
2010-01-15,1441.19,52
2010-02-15,1352.02,52
2010-03-15,1600.78,52
2010-04-15,1530.9099999999999,52
2010-05-15,1481.6299999999999,52
2010-06-15,1484.14,52
2010-07-15,1559.8200000000002,52
2010-08-15,1500.6799999999998,52
2010-09-15,1441.9499999999998,52
2010-10-15,1480.74,52
2010-11-15,1425.3700000000001,52
2010-12-15,1410.84,52
2011-01-15,1517.127,59
2011-02-15,1257.507,59
2011-03-15,1453.291,59
2011-04-15,1380.801,59
2011-05-15,1460.1000000000001,59
2011-06-15,1414.4180000000001,59
2011-07-15,1439.06,59
2011-08-15,1368.489,59
2011-09-15,1509.3839999999998,59
2011-10-15,1406.75,59
2011-11-15,1311.482,59
2011-12-15,1346.934,59
2012-01-15,1350.342,58
2012-02-15,1407.127,58
2012-03-15,1502.045,58
2012-04-15,1359.3580000000002,58
2012-05-15,1475.8780000000002,58
2012-06-15,1396.989,58
2012-07-15,1500.85,58
2012-08-15,1460.975,58
2012-09-15,1536.815,58
2012-10-15,1462.185,58
2012-11-15,1380.169,58
2012-12-15,1378.943,58
2013-01-15,1385.693,55
2013-02-15,1252.087,54
2013-03-15,1357.6970000000001,53
2013-04-15,1388.279,54
2013-05-15,1346.49,53
2013-06-15,1265.327,53
2013-07-15,1474.957,52
2013-08-15,1325.029,53
2013-09-15,1311.374,53
2013-10-15,1319.28,53
2013-11-15,1253.859,51
2013-12-15,1298.121,50
2014-01-15,1299.45,57
2014-02-15,1210.766,56
2014-03-15,1359.676,56
2014-04-15,1301.164,56
2014-05-15,1339.641,56
2014-06-15,1425.706,56
2014-07-15,1386.615,56
2014-08-15,1498.598,57
2014-09-15,1289.469,56
2014-10-15,1343.489,56
2014-11-15,1235.409,56
2014-12-15,1361.8509999999999,56
2015-01-15,1299.4370000000001,57
2015-02-15,1211.064,57
2015-03-15,1365.407,57
2015-04-15,1325.753,57
2015-05-15,1371.3,57
2015-06-15,1357.354,57
2015-07-15,1442.607,57
2015-08-15,1640.857,57
2015-09-15,1336.6270000000002,57
2015-10-15,1420.146,57
2015-11-15,1298.498,57
2015-12-15,1296.974,57
2016-01-15,1347.798,54
2016-02-15,1246.294,54
2016-03-15,1347.322,54
2016-04-15,1309.842,54
