ID,TOTAL_OD_VER_V,NAZICO,OBEC,POC_CELK,POC_NAP_OB,POCOBJ
320208_POV,8309.6,Vak K.Vary VD Stanovice - Teplá pro ÚV Březová,Stanovice,,,
320301_POV,5219.8,VOSS VD Horka,Nový Kostel,,,
320117_POD,1550.359,CHEVAK - Loužek Studna S4,Cheb,,,
320114_POD,589.707,CHEVAK - Odrava - Studna S1,Odrava,,,
320840_POV,514.573,"Momentive Specialty Chemicals, a.s.",Sokolov,,,
320115_POD,461.374,CHEVAK - Odrava - Studna S2,Odrava,,,
320136_POD,455.023,CHEVAK - Odrava - Studna S9,Odrava,,,
320113_POD,348.596,CHEVAK - Odrava-KW 30,Odrava,,,
320107_POD,337.6,Chevak Bavory - česká část,Pomezí nad Ohří,,,
320135_POD,314.9,CHEVAK - Odrava - Studna S8,Odrava,,,
320134_POD,314.2,CHEVAK - Odrava - Studna S7,Odrava,,,
321690_POV,298.6,KMS Kraslice - ÚV Stříbrná,Kraslice,,,
320128_POD,265.9,CHEVAK - Jindřichov vrt,Cheb,,,
321500_POV,235.745,Město  Rotava,Stříbrná,,,
321500_POD,207.422,Město  Rotava - Lesní - prameniště,Stříbrná,,,
321540_POV,206.96,Město Nejdek- ÚV Vysoká Pec,Vysoká Pec,,,
321540_POD,197.3,Město Nejdek - Limnice,Nejdek,,,
320119_POD,183.7,CHEVAK - Odrava - Studna S6,Odrava,,,
321250_POD,161.8,"KMS Kraslice-Hraničná,Staré Údolí",Kraslice,,,
321550_POD,149.328,Obec  Krásno,KRÁSNO,,,
320310_POD,146.5,VOSS zdroje pro Oloví,Sokolov,,,
320300_POD,146.1,VOSS Březová - prameniště,Březová,,,
321650_POD,139.1,KMS  Bublava,Bublava,,,
320231_POD,131.2,Vak K. Vary Krásno - důlní,Krásno,,,
320118_POD,130.0,CHEVAK- Kynšperk - Studna S5,Kynšperk nad Ohří,,,
320301_POD,122.5,VOSS Dolní Rychnov - prameniště,Dolní Rychnov,,,
