MONTH,AVG_MVM,STD_MVM,N_MONTHS,SEASONAL_FACTOR,MONTH_NAME
1,1478.074913043478,184.22988283118485,23,1.0012641126235542,Jan
2,1365.1398695652174,164.30341875608303,23,0.9247606789379593,Feb
3,1501.1674347826088,170.32646391264097,23,1.016907239425403,Mar
4,1456.3445217391304,163.78434234129327,23,0.9865437078766061,Apr
5,1503.6809130434783,161.36599817183313,23,1.0186098970906265,May
6,1489.1545652173913,159.14618371594025,23,1.008769590190485,Jun
7,1523.4444782608696,137.17517474411693,23,1.031997952333999,Jul
8,1539.671347826087,175.42974756880702,23,1.0429902112597804,Aug
9,1468.313956521739,153.35368208564586,23,0.9946519339147146,Sep
10,1478.5671739130435,154.60834022771357,23,1.001597575520729,Oct
11,1476.0188695652175,368.35957140313377,23,0.9998713262832888,Nov
12,1434.9277826086957,150.03962719075724,23,0.9720357745428548,Dec
